GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,NAME_M,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021
"G1900950","2014-2018","IA",,,"Iowa","19","Iowa County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19095",,,"Iowa County, Iowa",16207,15777,15450,148,7,40,0,5,127,0,127,430,326,2,4,0,0,65,33,0,33,"Iowa County, Iowa",0,0,7,54,16,32,15,7,33,15,33,0,93,4,6,15,15,72,48,15,48
"G1900970","2014-2018","IA",,,"Iowa","19","Jackson County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19097",,,"Jackson County, Iowa",19395,19119,18537,99,7,80,131,0,265,0,265,276,239,0,0,0,0,30,7,0,7,"Jackson County, Iowa",0,0,15,85,8,25,15,15,91,15,91,0,37,15,15,15,15,36,10,15,10
"G1900990","2014-2018","IA",,,"Iowa","19","Jasper County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19099",,,"Jasper County, Iowa",36891,36099,34614,704,68,176,56,0,481,0,481,792,611,1,0,0,0,74,106,106,0,"Jasper County, Iowa",0,0,20,126,36,57,57,20,137,20,137,0,108,14,20,20,20,59,108,108,20
"G1901010","2014-2018","IA",,,"Iowa","19","Jefferson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19101",,,"Jefferson County, Iowa",18077,17548,14591,310,2,1107,0,236,1302,0,1302,529,475,11,0,0,0,31,12,12,0,"Jefferson County, Iowa",0,0,82,154,4,380,15,144,399,15,399,0,50,25,15,15,15,31,25,25,15
"G1901030","2014-2018","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19103",,,"Johnson County, Iowa",147001,138817,115842,9822,269,9240,98,503,3043,61,2982,8184,4852,123,21,0,0,2774,414,159,255,"Johnson County, Iowa",0,0,258,320,114,446,19,358,529,71,533,0,630,108,26,22,22,668,167,85,148
"G1901050","2014-2018","IA",,,"Iowa","19","Jones County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19105",,,"Jones County, Iowa",20568,20178,19304,504,6,226,0,0,138,0,138,390,324,0,0,0,0,0,66,19,47,"Jones County, Iowa",0,0,17,175,12,206,17,17,142,17,142,0,81,17,17,17,17,17,81,35,71
"G1901070","2014-2018","IA",,,"Iowa","19","Keokuk County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19107",,,"Keokuk County, Iowa",10200,10034,9855,39,12,27,5,0,96,0,96,166,118,0,0,0,0,25,23,23,0,"Keokuk County, Iowa",0,0,15,23,15,10,8,15,30,15,30,0,27,15,15,15,15,19,19,19,15
"G1901090","2014-2018","IA",,,"Iowa","19","Kossuth County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19109",,,"Kossuth County, Iowa",15075,14713,14339,166,21,82,0,0,105,9,96,362,282,1,5,0,0,67,7,2,5,"Kossuth County, Iowa",0,0,13,32,16,22,15,15,46,13,43,0,49,2,9,15,15,48,8,4,7
"G1901110","2014-2018","IA",,,"Iowa","19","Lee County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19111",,,"Lee County, Iowa",34541,33309,31395,883,74,206,0,0,751,6,745,1232,967,0,8,0,0,179,78,46,32,"Lee County, Iowa",0,0,10,106,53,52,20,20,139,10,137,0,120,20,12,20,20,87,55,44,29
"G1901130","2014-2018","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19113",,,"Linn County, Iowa",222121,215037,191906,11539,352,5174,264,491,5311,75,5236,7084,4485,319,18,31,24,1405,802,281,521,"Linn County, Iowa",0,0,316,621,175,360,22,315,772,74,772,0,517,165,27,48,26,529,382,156,357
"G1901150","2014-2018","IA",,,"Iowa","19","Louisa County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19115",,,"Louisa County, Iowa",11223,9455,8771,125,55,419,0,9,76,0,76,1768,1463,0,2,3,0,277,23,14,9,"Louisa County, Iowa",0,0,10,18,54,84,15,10,68,15,68,0,151,15,5,5,15,150,18,15,10
"G1901170","2014-2018","IA",,,"Iowa","19","Lucas County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19117",,,"Lucas County, Iowa",8597,8444,8408,13,1,0,0,0,22,0,22,153,114,1,0,0,0,38,0,0,0,"Lucas County, Iowa",0,0,27,22,2,13,13,13,18,13,18,0,64,2,13,13,13,64,13,13,13
"G1901190","2014-2018","IA",,,"Iowa","19","Lyon County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19119",,,"Lyon County, Iowa",11769,11465,11277,7,31,27,33,0,90,0,90,304,126,0,48,1,0,100,29,16,13,"Lyon County, Iowa",0,0,15,9,16,7,21,15,26,15,26,0,50,15,32,5,15,39,24,23,15
"G1901210","2014-2018","IA",,,"Iowa","19","Madison County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19121",,,"Madison County, Iowa",15890,15559,15174,37,13,181,0,0,154,0,154,331,283,0,0,19,19,10,0,0,0,"Madison County, Iowa",0,0,15,32,19,70,15,15,68,15,68,0,54,15,15,25,25,19,15,15,15
"G1901230","2014-2018","IA",,,"Iowa","19","Mahaska County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19123",,,"Mahaska County, Iowa",22208,21733,20757,339,58,308,15,7,249,0,249,475,372,8,0,0,0,75,20,20,0,"Mahaska County, Iowa",0,0,11,51,23,66,23,11,84,17,84,0,54,16,17,17,17,49,25,25,17
"G1901250","2014-2018","IA",,,"Iowa","19","Marion County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19125",,,"Marion County, Iowa",33207,32578,31445,197,63,313,0,3,557,0,557,629,271,0,2,0,0,283,73,27,46,"Marion County, Iowa",0,0,5,85,30,82,20,5,123,20,123,0,133,20,6,20,20,170,74,43,54
"G1901270","2014-2018","IA",,,"Iowa","19","Marshall County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19127",,,"Marshall County, Iowa",40271,31690,28874,357,44,1446,14,6,949,11,938,8581,5372,26,81,7,0,3050,45,17,28,"Marshall County, Iowa",0,0,20,121,46,90,25,10,162,13,162,0,616,42,81,10,20,606,51,29,41
"G1901290","2014-2018","IA",,,"Iowa","19","Mills County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19129",,,"Mills County, Iowa",14957,14509,14105,130,108,40,0,3,123,0,123,448,339,0,27,0,0,81,1,0,1,"Mills County, Iowa",0,0,5,48,18,21,15,5,54,15,54,0,74,15,30,15,15,58,3,15,3
"G1901310","2014-2018","IA",,,"Iowa","19","Mitchell County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19131",,,"Mitchell County, Iowa",10631,10485,10280,9,55,53,0,0,88,18,70,146,107,0,14,0,0,13,12,12,0,"Mitchell County, Iowa",0,0,30,14,48,43,15,15,59,30,49,0,38,15,19,15,15,19,17,17,15
"G1901330","2014-2018","IA",,,"Iowa","19","Monona County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19133",,,"Monona County, Iowa",8796,8626,8346,24,179,0,0,2,75,0,75,170,166,0,2,0,0,2,0,0,0,"Monona County, Iowa",0,0,3,37,100,13,13,3,83,13,83,0,6,13,4,13,13,5,13,13,13
"G1901350","2014-2018","IA",,,"Iowa","19","Monroe County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19135",,,"Monroe County, Iowa",7863,7662,7352,5,0,10,0,109,186,0,186,201,200,0,0,0,0,1,0,0,0,"Monroe County, Iowa",0,182,150,12,13,29,13,150,175,13,175,182,182,13,13,13,13,2,13,13,13
"G1901370","2014-2018","IA",,,"Iowa","19","Montgomery County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19137",,,"Montgomery County, Iowa",10155,9771,9533,0,23,0,0,0,215,0,215,384,121,0,27,0,0,160,76,9,67,"Montgomery County, Iowa",0,0,15,15,19,15,15,15,19,15,19,0,96,15,38,15,15,126,85,9,84
"G1901390","2014-2018","IA",,,"Iowa","19","Muscatine County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19139",,,"Muscatine County, Iowa",42950,35309,33158,971,79,389,11,30,671,12,659,7641,6105,37,0,9,0,857,633,113,520,"Muscatine County, Iowa",0,0,47,131,56,64,20,43,138,19,139,0,469,47,20,14,20,370,309,71,313
"G1901410","2014-2018","IA",,,"Iowa","19","O'Brien County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19141",,,"O'Brien County, Iowa",13911,13260,12907,125,28,127,4,0,69,0,69,651,176,22,18,0,0,350,85,48,37,"O'Brien County, Iowa",0,0,15,18,20,50,6,15,52,15,52,0,77,32,17,15,15,115,82,61,32
"G1901430","2014-2018","IA",,,"Iowa","19","Osceola County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19143",,,"Osceola County, Iowa",6115,5636,5477,77,5,11,5,0,61,4,57,479,307,0,8,0,0,137,27,27,0,"Osceola County, Iowa",0,0,6,31,5,11,7,13,30,6,30,0,86,13,8,13,13,87,32,32,13
"G1901450","2014-2018","IA",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19145",,,"Page County, Iowa",15363,14851,14020,260,101,147,0,0,323,0,323,512,407,5,14,0,7,66,13,9,4,"Page County, Iowa",0,0,15,117,82,57,15,15,105,15,105,0,70,11,14,15,13,63,11,10,6
"G1901470","2014-2018","IA",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19147",,,"Palo Alto County, Iowa",9055,8814,8494,197,16,47,0,0,60,0,60,241,211,12,0,0,0,14,4,4,0,"Palo Alto County, Iowa",0,0,13,47,30,27,13,13,35,13,35,0,35,22,13,13,13,19,7,7,13
"G1901490","2014-2018","IA",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19149",,,"Plymouth County, Iowa",25039,23795,23090,159,106,134,16,7,283,0,283,1244,639,19,6,0,0,562,18,9,9,"Plymouth County, Iowa",0,0,17,81,51,57,19,11,113,17,113,0,215,29,7,17,17,220,19,11,15
"G1901510","2014-2018","IA",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19151",,,"Pocahontas County, Iowa",6898,6645,6429,44,25,105,0,0,42,0,42,253,201,0,0,0,3,41,8,0,8,"Pocahontas County, Iowa",0,0,13,49,39,55,13,13,33,13,33,0,43,13,13,13,5,34,13,13,13
"G1901530","2014-2018","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19153",,,"Polk County, Iowa",474274,435188,370282,30183,785,21376,380,224,11958,188,11770,39086,29697,893,580,132,43,6088,1653,752,901,"Polk County, Iowa",0,0,132,898,191,477,24,129,1048,106,1032,0,1073,363,361,100,40,926,358,241,316
"G1901550","2014-2018","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19155",,,"Pottawattamie County, Iowa",93503,86381,82251,1335,257,619,11,7,1901,0,1901,7122,4654,31,48,12,0,2115,262,125,137,"Pottawattamie County, Iowa",0,0,8,193,126,179,18,8,285,22,285,0,513,39,51,18,22,528,130,90,96
"G1901570","2014-2018","IA",,,"Iowa","19","Poweshiek County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19157",,,"Poweshiek County, Iowa",18605,18008,17040,345,0,396,9,0,218,0,218,597,414,0,0,0,0,61,122,45,77,"Poweshiek County, Iowa",0,0,15,73,15,52,17,15,90,15,90,0,93,15,15,15,15,40,71,47,58
"G1901590","2014-2018","IA",,,"Iowa","19","Ringgold County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19159",,,"Ringgold County, Iowa",4984,4865,4767,3,18,47,0,0,30,4,26,119,51,0,0,0,0,68,0,0,0,"Ringgold County, Iowa",0,0,9,5,14,28,9,9,22,7,20,0,45,9,9,9,9,45,9,9,9
"G1901610","2014-2018","IA",,,"Iowa","19","Sac County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19161",,,"Sac County, Iowa",9868,9585,9399,64,0,8,0,0,114,8,106,283,214,0,0,0,0,63,6,6,0,"Sac County, Iowa",0,0,8,57,13,12,13,13,56,8,56,0,37,13,13,13,13,37,9,9,13
"G1901630","2014-2018","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19163",,,"Scott County, Iowa",172288,160918,138243,12815,490,4650,30,252,4438,73,4365,11370,9572,46,124,28,0,1027,573,226,347,"Scott County, Iowa",0,0,192,668,145,241,36,195,713,87,715,0,394,44,91,33,22,310,230,141,173
"G1901650","2014-2018","IA",,,"Iowa","19","Shelby County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19165",,,"Shelby County, Iowa",11694,11362,11089,96,9,37,0,0,131,0,131,332,249,0,8,0,0,63,12,12,0,"Shelby County, Iowa",0,0,15,53,8,46,15,15,49,15,49,0,77,15,12,15,15,73,21,21,15
"G1901670","2014-2018","IA",,,"Iowa","19","Sioux County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19167",,,"Sioux County, Iowa",34825,31170,30340,124,21,248,20,7,410,0,410,3655,2134,0,83,0,0,1257,181,109,72,"Sioux County, Iowa",0,0,8,32,31,107,24,8,108,20,108,0,417,20,103,20,20,397,101,78,52
"G1901690","2014-2018","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19169",,,"Story County, Iowa",96922,93663,81476,1772,217,7449,25,45,2679,12,2667,3259,2416,56,0,28,0,563,196,155,41,"Story County, Iowa",0,0,52,324,78,381,41,56,527,14,523,0,258,64,22,29,22,238,100,91,37
"G1901710","2014-2018","IA",,,"Iowa","19","Tama County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19171",,,"Tama County, Iowa",17136,15555,13960,143,1212,58,3,8,171,0,171,1581,1154,0,174,0,4,209,40,24,16,"Tama County, Iowa",0,0,8,21,33,27,5,8,48,15,48,0,155,15,86,15,6,117,27,24,14
"G1901730","2014-2018","IA",,,"Iowa","19","Taylor County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19173",,,"Taylor County, Iowa",6201,5709,5596,15,2,44,0,0,52,0,52,492,322,0,12,0,0,154,4,4,0,"Taylor County, Iowa",0,0,13,12,5,31,13,13,26,13,26,0,88,13,15,13,13,94,6,6,13
"G1901750","2014-2018","IA",,,"Iowa","19","Union County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19175",,,"Union County, Iowa",12453,12088,11730,63,20,164,8,0,103,0,103,365,333,0,0,0,8,24,0,0,0,"Union County, Iowa",0,0,15,58,26,92,16,15,53,15,53,0,33,15,15,15,12,30,15,15,15
"G1901770","2014-2018","IA",,,"Iowa","19","Van Buren County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19177",,,"Van Buren County, Iowa",7223,7116,6976,35,0,9,0,0,96,0,96,107,78,18,0,0,0,11,0,0,0,"Van Buren County, Iowa",0,0,13,17,13,6,13,13,15,13,15,0,29,26,13,13,13,14,13,13,13
"G1901790","2014-2018","IA",,,"Iowa","19","Wapello County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19179",,,"Wapello County, Iowa",35315,31552,29257,1122,53,376,174,51,519,0,519,3763,1611,21,2,0,9,1975,145,145,0,"Wapello County, Iowa",0,0,56,126,46,35,3,56,141,20,141,0,404,20,3,20,15,403,89,89,20
"G1901810","2014-2018","IA",,,"Iowa","19","Warren County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19181",,,"Warren County, Iowa",49361,48028,46635,192,66,255,159,8,713,0,713,1333,848,37,10,25,0,322,91,42,49,"Warren County, Iowa",0,0,11,122,59,70,139,11,171,20,171,0,149,42,16,25,20,156,53,37,39
"G1901830","2014-2018","IA",,,"Iowa","19","Washington County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19183",,,"Washington County, Iowa",22143,20807,20198,191,55,104,0,0,259,2,257,1336,1109,10,5,0,0,183,29,10,19,"Washington County, Iowa",0,0,7,24,33,46,17,17,62,7,62,0,161,27,9,17,17,158,26,12,22
"G1901850","2014-2018","IA",,,"Iowa","19","Wayne County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19185",,,"Wayne County, Iowa",6413,6358,6171,67,19,2,0,0,99,0,99,55,55,0,0,0,0,0,0,0,0,"Wayne County, Iowa",0,31,13,37,15,9,13,13,34,13,34,31,31,13,13,13,13,13,13,13,13
"G1901870","2014-2018","IA",,,"Iowa","19","Webster County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19187",,,"Webster County, Iowa",36757,35014,32224,1719,119,486,6,0,460,5,455,1743,1449,20,6,0,0,172,96,20,76,"Webster County, Iowa",0,0,7,114,39,30,5,20,128,7,127,0,103,21,9,20,20,73,64,24,65
"G1901890","2014-2018","IA",,,"Iowa","19","Winnebago County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19189",,,"Winnebago County, Iowa",10571,10107,9708,136,56,131,0,0,76,7,69,464,340,0,7,0,0,79,38,9,29,"Winnebago County, Iowa",0,0,15,50,55,10,15,15,46,13,48,0,81,15,10,15,15,62,44,15,36
"G1901910","2014-2018","IA",,,"Iowa","19","Winneshiek County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19191",,,"Winneshiek County, Iowa",20401,19955,19415,193,18,270,0,1,58,0,58,446,343,0,4,0,0,51,48,48,0,"Winneshiek County, Iowa",0,0,2,41,37,53,17,2,51,17,51,0,63,17,6,17,17,40,44,44,17
"G1901930","2014-2018","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19193",,,"Woodbury County, Iowa",102398,85857,75673,3193,1570,2938,199,15,2269,18,2251,16541,12565,385,403,24,68,2393,703,432,271,"Woodbury County, Iowa",0,0,35,318,237,135,30,19,388,29,385,0,796,262,347,34,75,511,355,291,198
"G1901950","2014-2018","IA",,,"Iowa","19","Worth County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19195",,,"Worth County, Iowa",7489,7271,7070,92,0,25,2,0,82,0,82,218,189,2,3,0,0,1,23,15,8,"Worth County, Iowa",0,0,13,38,13,17,4,13,39,13,39,0,24,4,5,13,13,3,22,21,9
"G1901970","2014-2018","IA",,,"Iowa","19","Wright County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19197",,,"Wright County, Iowa",12804,11323,11026,88,5,39,0,0,165,0,165,1481,899,0,40,0,0,522,20,19,1,"Wright County, Iowa",0,0,15,59,7,28,15,15,71,15,71,0,186,15,44,15,15,187,24,23,4
"G2000010","2014-2018","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20001",,,"Allen County, Kansas",12630,12192,11431,188,35,76,7,11,444,0,444,438,387,0,0,0,2,21,28,26,2,"Allen County, Kansas",0,0,3,65,35,45,13,13,89,16,89,0,52,16,16,16,4,33,41,39,4
"G2000030","2014-2018","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20003",,,"Anderson County, Kansas",7852,7710,7462,45,166,1,0,0,36,0,36,142,105,0,0,0,0,0,37,37,0,"Anderson County, Kansas",0,0,15,27,9,3,15,15,28,15,28,0,48,15,15,15,15,15,48,48,15
"G2000050","2014-2018","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20005",,,"Atchison County, Kansas",16363,15876,14456,373,53,71,10,5,908,16,892,487,329,5,24,0,0,21,108,31,77,"Atchison County, Kansas",0,0,20,126,53,52,14,9,165,17,159,0,80,8,22,16,16,19,69,44,59
"G2000070","2014-2018","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20007",,,"Barber County, Kansas",4733,4542,4332,28,48,31,0,1,102,0,102,191,186,0,1,0,0,4,0,0,0,"Barber County, Kansas",149,144,136,24,39,27,10,3,38,10,38,86,86,10,2,10,10,4,10,10,10
"G2000090","2014-2018","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20009",,,"Barton County, Kansas",26791,22856,21895,326,170,27,54,12,372,1,371,3935,3209,127,123,28,16,240,192,21,171,"Barton County, Kansas",0,0,6,93,55,24,86,16,85,2,86,0,317,120,132,44,26,165,192,37,206
"G2000110","2014-2018","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20011",,,"Bourbon County, Kansas",14702,14312,13254,473,71,133,0,0,381,0,381,390,356,0,0,0,0,13,21,0,21,"Bourbon County, Kansas",0,0,16,57,33,73,16,16,102,16,102,0,30,16,16,16,16,14,29,16,29
"G2000130","2014-2018","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20013",,,"Brown County, Kansas",9664,9249,8055,105,682,52,10,0,345,0,345,415,236,17,98,0,0,32,32,0,32,"Brown County, Kansas",0,0,15,66,59,15,10,15,85,15,85,0,66,18,52,15,15,21,27,15,27
"G2000150","2014-2018","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20015",,,"Butler County, Kansas",66468,63326,59255,1481,497,750,31,10,1302,38,1264,3142,2686,82,14,15,0,128,217,102,115,"Butler County, Kansas",0,0,28,146,132,166,20,17,268,44,263,0,201,104,18,27,24,88,130,92,83
"G2000170","2014-2018","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20017",,,"Chase County, Kansas",2645,2523,2416,46,13,0,0,0,48,0,48,122,100,0,0,0,0,18,4,0,4,"Chase County, Kansas",0,0,10,25,17,10,10,10,25,10,25,0,23,10,10,10,10,22,7,10,7
"G2000190","2014-2018","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20019",,,"Chautauqua County, Kansas",3367,3331,2905,20,208,0,0,0,198,0,198,36,29,0,0,0,0,0,7,0,7,"Chautauqua County, Kansas",0,25,10,9,48,10,10,10,49,10,49,25,17,10,10,10,10,10,12,10,12
"G2000210","2014-2018","KS",,,"Kansas","20","Cherokee County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20021",,,"Cherokee County, Kansas",20331,19819,17952,125,483,87,72,11,1089,0,1089,512,427,0,16,0,0,49,20,0,20,"Cherokee County, Kansas",0,0,19,87,123,33,70,19,161,19,161,0,53,19,23,19,19,48,21,19,21
"G2000230","2014-2018","KS",,,"Kansas","20","Cheyenne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20023",,,"Cheyenne County, Kansas",2677,2503,2471,0,0,1,0,24,7,0,7,174,69,0,0,0,0,96,9,2,7,"Cheyenne County, Kansas",0,0,36,10,10,3,10,35,7,10,7,0,39,10,10,10,10,41,11,5,9
"G2000250","2014-2018","KS",,,"Kansas","20","Clark County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20025",,,"Clark County, Kansas",2053,1881,1764,10,25,16,0,0,66,0,66,172,165,2,0,0,0,5,0,0,0,"Clark County, Kansas",0,96,102,14,26,17,10,10,33,10,33,96,94,3,10,10,10,7,10,10,10
"G2000270","2014-2018","KS",,,"Kansas","20","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20027",,,"Clay County, Kansas",8142,7941,7674,45,54,54,0,0,114,0,114,201,201,0,0,0,0,0,0,0,0,"Clay County, Kansas",0,0,15,33,37,49,15,15,60,15,60,0,15,15,15,15,15,15,15,15,15
"G2000290","2014-2018","KS",,,"Kansas","20","Cloud County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20029",,,"Cloud County, Kansas",9060,8771,8429,161,12,3,0,12,154,0,154,289,210,0,0,0,0,73,6,0,6,"Cloud County, Kansas",0,0,15,75,18,5,15,27,80,15,80,0,87,15,15,15,15,87,10,15,10
"G2000310","2014-2018","KS",,,"Kansas","20","Coffey County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20031",,,"Coffey County, Kansas",8296,8077,7750,51,61,23,0,4,188,0,188,219,177,0,4,0,0,12,26,12,14,"Coffey County, Kansas",0,0,6,44,32,23,15,6,60,15,60,0,20,15,5,15,15,11,17,11,15
"G2000330","2014-2018","KS",,,"Kansas","20","Comanche County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20033",,,"Comanche County, Kansas",1780,1657,1632,0,0,0,0,0,25,0,25,123,107,0,0,0,0,16,0,0,0,"Comanche County, Kansas",149,144,135,10,10,10,10,10,29,10,29,86,87,10,10,10,10,18,10,10,10
"G2000350","2014-2018","KS",,,"Kansas","20","Cowley County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20035",,,"Cowley County, Kansas",35591,31755,28384,963,578,570,7,12,1241,0,1241,3836,2840,163,61,0,35,501,236,97,139,"Cowley County, Kansas",0,0,15,115,100,73,7,15,184,22,184,0,291,189,47,22,37,180,141,101,92
"G2000370","2014-2018","KS",,,"Kansas","20","Crawford County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20037",,,"Crawford County, Kansas",39108,36962,33979,842,164,787,0,0,1190,0,1190,2146,1740,24,18,0,0,302,62,12,50,"Crawford County, Kansas",0,0,22,258,79,74,22,22,304,22,304,0,199,39,25,22,22,196,41,16,32
"G2000390","2014-2018","KS",,,"Kansas","20","Decatur County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20039",,,"Decatur County, Kansas",2881,2800,2744,4,26,4,0,0,22,0,22,81,73,0,0,0,0,7,1,1,0,"Decatur County, Kansas",0,0,32,5,25,7,10,10,21,10,21,0,14,10,10,10,10,14,2,2,10
"G2000410","2014-2018","KS",,,"Kansas","20","Dickinson County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20041",,,"Dickinson County, Kansas",19004,18128,17297,254,162,85,0,0,330,10,320,876,698,2,5,0,0,70,101,79,22,"Dickinson County, Kansas",0,0,14,81,45,63,16,16,115,14,112,0,85,5,8,16,16,40,82,76,29
